,words,sounds,sents
0,abandon,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N']",-0.4404
1,abandoned,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'D']",-0.4588
2,abandoner,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'ER']",-0.4404
3,abandoners,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'ER', 'Z']",-0.4404
4,abandoning,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'IH', 'NG']",-0.3818
5,abandonment,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'M', 'AH', 'N', 'T']",-0.5267
6,abandonments,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'M', 'AH', 'N', 'T', 'S']",-0.4019
7,abandons,"['AH', 'B', 'AE', 'N', 'D', 'AH', 'N', 'Z']",-0.3182
8,abducted,"['AE', 'B', 'D', 'AH', 'K', 'T', 'IH', 'D']",-0.5106
9,abducted,"['AH', 'B', 'D', 'AH', 'K', 'T', 'IH', 'D']",-0.5106
10,abduction,"['AE', 'B', 'D', 'AH', 'K', 'SH', 'AH', 'N']",-0.5859
11,abduction,"['AH', 'B', 'D', 'AH', 'K', 'SH', 'AH', 'N']",-0.5859
12,abductions,"['AE', 'B', 'D', 'AH', 'K', 'SH', 'AH', 'N', 'Z']",-0.4588
13,abductions,"['AH', 'B', 'D', 'AH', 'K', 'SH', 'AH', 'N', 'Z']",-0.4588
14,abhor,"['AE', 'B', 'HH', 'AO', 'R']",-0.4588
15,abhorred,"['AH', 'B', 'HH', 'AO', 'R', 'D']",-0.5267
16,abhorrent,"['AE', 'B', 'HH', 'AO', 'R', 'AH', 'N', 'T']",-0.6249
17,abhors,"['AH', 'B', 'HH', 'AO', 'R', 'Z']",-0.5994
18,abilities,"['AH', 'B', 'IH', 'L', 'AH', 'T', 'IY', 'Z']",0.25
19,ability,"['AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']",0.3182
20,aboard,"['AH', 'B', 'AO', 'R', 'D']",0.0258
21,absentee,"['AE', 'B', 'S', 'AH', 'N', 'T', 'IY']",-0.2732
22,absentees,"['AE', 'B', 'S', 'AH', 'N', 'T', 'IY', 'Z']",-0.2023
23,absolve,"['AH', 'B', 'Z', 'AA', 'L', 'V']",0.296
24,absolve,"['AE', 'B', 'Z', 'AA', 'L', 'V']",0.296
25,absolved,"['AH', 'B', 'Z', 'AA', 'L', 'V', 'D']",0.3612
26,absolved,"['AE', 'B', 'Z', 'AA', 'L', 'V', 'D']",0.3612
27,absolves,"['AH', 'B', 'Z', 'AA', 'L', 'V', 'Z']",0.3182
28,absolves,"['AE', 'B', 'Z', 'AA', 'L', 'V', 'Z']",0.3182
29,absolving,"['AH', 'B', 'Z', 'AA', 'L', 'V', 'IH', 'NG']",0.3818
30,absolving,"['AE', 'B', 'Z', 'AA', 'L', 'V', 'IH', 'NG']",0.3818
31,abuse,"['AH', 'B', 'Y', 'UW', 'S']",-0.6369
32,abuse,"['AH', 'B', 'Y', 'UW', 'Z']",-0.6369
33,abused,"['AH', 'B', 'Y', 'UW', 'Z', 'D']",-0.5106
34,abuser,"['AH', 'B', 'Y', 'UW', 'Z', 'ER']",-0.5574
35,abusers,"['AH', 'B', 'Y', 'UW', 'Z', 'ER', 'Z']",-0.5574
36,abuses,"['AH', 'B', 'Y', 'UW', 'S', 'IH', 'Z']",-0.5574
37,abuses,"['AH', 'B', 'Y', 'UW', 'Z', 'IH', 'Z']",-0.5574
38,abusing,"['AH', 'B', 'Y', 'UW', 'Z', 'IH', 'NG']",-0.4588
39,abusive,"['AH', 'B', 'Y', 'UW', 'S', 'IH', 'V']",-0.6369
40,abusively,"['AH', 'B', 'Y', 'UW', 'S', 'IH', 'V', 'L', 'IY']",-0.5859
41,abusiveness,"['AH', 'B', 'Y', 'UW', 'S', 'IH', 'V', 'N', 'AH', 'S']",-0.5423
42,abusivenesses,"['AH', 'B', 'Y', 'UW', 'S', 'IH', 'V', 'N', 'AH', 'S', 'IH', 'Z']",-0.6124
43,accept,"['AE', 'K', 'S', 'EH', 'P', 'T']",0.3818
44,accept,"['AH', 'K', 'S', 'EH', 'P', 'T']",0.3818
45,acceptabilities,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'EH', 'Z']",0.3818
46,acceptability,"['AH', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']",0.2732
47,acceptable,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'AH', 'L']",0.3182
48,acceptable,"['AH', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'AH', 'L']",0.3182
49,acceptableness,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S']",0.3182
50,acceptably,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'L', 'IY']",0.3612
51,acceptably,"['AH', 'K', 'S', 'EH', 'P', 'T', 'AH', 'B', 'L', 'IY']",0.3612
52,acceptance,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'N', 'S']",0.4588
