ONCE	W AH N S
UPON	AH P AA N
A	AH
A(2)	EY
MIDNIGHT	M IH D N AY T
DREARY	D R IH R IY
WHILE	W AY L
WHILE(2)	HH W AY L
I	AY
PONDERED	P AA N D ER D
WEAK	W IY K
AND	AH N D
AND(2)	AE N D
WEARY	W IH R IY
OVER	OW V ER
MANY	M EH N IY
A	AH
A(2)	EY
QUAINT	K W EY N T
AND	AH N D
AND(2)	AE N D
CURIOUS	K Y UH R IY AH S
VOLUME	V AA L Y UW M
OF	AH V
FORGOTTEN	F ER G AA T AH N
FORGOTTEN(2)	F AO R G AA T AH N
LORE	L AO R
WHILE	W AY L
WHILE(2)	HH W AY L
I	AY
NODDED	N AA D AH D
NODDED(2)	N AA D IH D
NEARLY	N IH R L IY
NAPPING	N AE P IH NG
SUDDENLY	S AH D AH N L IY
THERE	DH EH R
CAME	K EY M
A	AH
A(2)	EY
TAPPING	T AE P IH NG
AS	AE Z
AS(2)	EH Z
OF	AH V
SOME	S AH M
ONE	W AH N
ONE(2)	HH W AH N
GENTLY	JH EH N T L IY
RAPPING	R AE P IH NG
RAPPING	R AE P IH NG
AT	AE T
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
TIS	T IH Z
SOME	S AH M
VISITOR	V IH Z IH T ER
I	AY
MUTTERED	M AH T ER D
TAPPING	T AE P IH NG
AT	AE T
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
ONLY	OW N L IY
THIS	DH IH S
AND	AH N D
AND(2)	AE N D
NOTHING	N AH TH IH NG
MORE	M AO R
AH	AA
DISTINCTLY	D IH S T IH NG K T L IY
I	AY
REMEMBER	R IH M EH M B ER
REMEMBER(2)	R IY M EH M B ER
IT	IH T
WAS	W AA Z
IN	IH N
THE	DH AH
THE(2)	DH IY
BLEAK	B L IY K
DECEMBER	D IH S EH M B ER
AND	AH N D
AND(2)	AE N D
EACH	IY CH
SEPARATE	S EH P ER EY T
SEPARATE(2)	S EH P ER IH T
SEPARATE(3)	S EH P R AH T
DYING	D AY IH NG
EMBER	EH M B ER
WROUGHT	R AO T
ITS	IH T S
GHOST	G OW S T
UPON	AH P AA N
THE	DH AH
THE(2)	DH IY
FLOOR	F L AO R
EAGERLY	IY G ER L IY
I	AY
WISHED	W IH SH T
THE	DH AH
THE(2)	DH IY
MORROWVAINLY	M AA R OW V EY N L IY
I	AY
HAD	HH AE D
SOUGHT	S AO T
TO	T UW
TO(2)	T IH
TO(3)	T AH
BORROW	B AA R OW
FROM	F R AH M
MY	M AY
BOOKS	B UH K S
SURCEASE	S ER S IY S
OF	AH V
SORROWSORROW	S AA R OW S AA R OW
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
THE	DH AH
THE(2)	DH IY
LOST	L AO S T
LENORE	L AH N AO R
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
THE	DH AH
THE(2)	DH IY
RARE	R EH R
AND	AH N D
AND(2)	AE N D
RADIANT	R EY D IY AH N T
MAIDEN	M EY D AH N
WHOM	HH UW M
THE	DH AH
THE(2)	DH IY
ANGELS	EY N JH AH L Z
NAME	N EY M
LENORE	L AH N AO R
NAMELESS	N EY M L AH S
HERE	HH IY R
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
EVERMORE	EH V ER M AO R
AND	AH N D
AND(2)	AE N D
THE	DH AH
THE(2)	DH IY
SILKEN	S IH L K AH N
